
208.67.222.222 , Queries Sent: , Queries Completed: , QPS: , Avg Latency: 
1.1.1.1, Queries Sent: 10834, Queries Completed: 10834, QPS: 2083.096596, Avg Latency: 0.019661
8.8.4.4, Queries Sent: 11136, Queries Completed: 11136, QPS: 2226.368674, Avg Latency: 0.014486
8.8.8.8, Queries Sent: 11319, Queries Completed: 11319, QPS: 2261.596752, Avg Latency: 0.018161
15.161.190.206, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
2.35.1.180, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
37.247.48.69, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
79.37.158.8, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
82.49.92.240, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
109.70.207.43, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
83.103.61.107, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
81.116.141.156, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
85.47.101.253, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
2.232.249.134, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
87.9.44.45, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
80.211.80.126, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
82.57.137.47, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
79.25.27.194, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
213.156.49.106, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
79.50.161.252, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
